Name,Usage,Parent,Tags,Value,Units
AXUV,STRUCTURE,TOP.DIAG,['AXUV'],,
DIODEARRAY1,STRUCTURE,AXUV,,,
PHI_SLIT,NUMERIC,AXUV.DIODEARRAY1,,-2.0943951023931953,
D_SLIT_DIOD,NUMERIC,AXUV.DIODEARRAY1,,0.025,m
R_SLIT,NUMERIC,AXUV.DIODEARRAY1,,0.38,m
Z_SLIT,NUMERIC,AXUV.DIODEARRAY1,,0.0,m
AXUV.DIODEARRAY1.CH_01,SIGNAL,,,\AXUV.DIODEARRAY1.CH_01.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY1.CH_01,,\AXUV.DIODEARRAY1.CH_01.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY1.CH_01,,\ACQ1001_639.CH_30,
CURRENT,SIGNAL,AXUV.DIODEARRAY1.CH_01,,\AXUV.DIODEARRAY1.CH_01.VOLTAGE / \AXUV.DIODEARRAY1.CH_01.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY1.CH_01,,10.0,Ohm
R,NUMERIC,AXUV.DIODEARRAY1.CH_01,,0.4051005438468332,m
Z,NUMERIC,AXUV.DIODEARRAY1.CH_01,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY1.CH_01,,-2.116675365562194,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY1.CH_01,,-0.1290304571409049,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_01,,2.72379994392395,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY1.CH_01,,20.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_01,,23.856000900268555,
V_PEAK,NUMERIC,AXUV.DIODEARRAY1.CH_01,,0.2685000002384186,
AXUV.DIODEARRAY1.CH_02,SIGNAL,,,\AXUV.DIODEARRAY1.CH_02.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY1.CH_02,,\AXUV.DIODEARRAY1.CH_02.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY1.CH_02,,\ACQ1001_639.CH_29,
CURRENT,SIGNAL,AXUV.DIODEARRAY1.CH_02,,\AXUV.DIODEARRAY1.CH_02.VOLTAGE / \AXUV.DIODEARRAY1.CH_02.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY1.CH_02,,10.0,Ohm
R,NUMERIC,AXUV.DIODEARRAY1.CH_02,,0.4050804927727327,m
Z,NUMERIC,AXUV.DIODEARRAY1.CH_02,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY1.CH_02,,-2.114330732576701,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY1.CH_02,,-0.11679906460511491,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_02,,3.3933000564575195,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY1.CH_02,,19.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_02,,21.418100357055664,
V_PEAK,NUMERIC,AXUV.DIODEARRAY1.CH_02,,0.2730999886989593,
AXUV.DIODEARRAY1.CH_03,SIGNAL,,,\AXUV.DIODEARRAY1.CH_03.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY1.CH_03,,\AXUV.DIODEARRAY1.CH_03.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY1.CH_03,,\ACQ1001_639.CH_28,
CURRENT,SIGNAL,AXUV.DIODEARRAY1.CH_03,,\AXUV.DIODEARRAY1.CH_03.VOLTAGE / \AXUV.DIODEARRAY1.CH_03.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY1.CH_03,,10.01,Ohm
R,NUMERIC,AXUV.DIODEARRAY1.CH_03,,0.4050626687625015,m
Z,NUMERIC,AXUV.DIODEARRAY1.CH_03,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY1.CH_03,,-2.111985880357638,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY1.CH_03,,-0.10415363564982669,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_03,,3.0943000316619873,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY1.CH_03,,18.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_03,,18.96739959716797,
V_PEAK,NUMERIC,AXUV.DIODEARRAY1.CH_03,,0.2709999978542328,
AXUV.DIODEARRAY1.CH_04,SIGNAL,,,\AXUV.DIODEARRAY1.CH_04.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY1.CH_04,,\AXUV.DIODEARRAY1.CH_04.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY1.CH_04,,\ACQ1001_639.CH_27,
CURRENT,SIGNAL,AXUV.DIODEARRAY1.CH_04,,\AXUV.DIODEARRAY1.CH_04.VOLTAGE / \AXUV.DIODEARRAY1.CH_04.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY1.CH_04,,10.02,Ohm
R,NUMERIC,AXUV.DIODEARRAY1.CH_04,,0.4050470721101438,m
Z,NUMERIC,AXUV.DIODEARRAY1.CH_04,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY1.CH_04,,-2.10964083466314,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY1.CH_04,,-0.0911215741134719,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_04,,3.4518001079559326,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY1.CH_04,,17.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_04,,16.37660026550293,
V_PEAK,NUMERIC,AXUV.DIODEARRAY1.CH_04,,0.2867000102996826,
AXUV.DIODEARRAY1.CH_05,SIGNAL,,,\AXUV.DIODEARRAY1.CH_05.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY1.CH_05,,\AXUV.DIODEARRAY1.CH_05.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY1.CH_05,,\ACQ1001_639.CH_26,
